dates,close,AR(1),"ARMA(0,1)","ARMA((1, 0))","ARIMA((1, 0),-0.41862263501470215*sentiment)"
2020-11-02,50.619999,,54.6451251320542,53.87424913788077,53.89200096532555
2020-11-03,51.700001,52.30574657823638,52.64913409035127,51.31057986975422,51.316554532658564
2020-11-04,55.040001,52.98253273886107,54.02099211671423,52.16139582415356,52.16664182711912
2020-11-05,55.16,55.0755527300152,55.39493495364994,54.79261806975476,54.795610628564155
2020-11-06,55.52,55.150750426397984,54.461694358073586,54.887152212943356,54.890063810361944
2020-11-09,54.049999,55.376345395504416,55.501475374053605,55.170757005882415,55.17342571710452
2020-11-10,56.57,54.45516531166712,53.44300889991365,54.012703313590194,54.01636381078925
2020-11-11,58.02,56.034330722064844,57.27638015831902,55.99793765195464,55.99989794510372
2020-11-12,56.84,56.9429771254102,55.27791777075633,57.140234734625835,57.14121673615021
2020-11-13,57.380001,56.20352694889467,55.98522888197928,56.21064124665894,56.21241937516065
2020-11-16,56.290001,56.54192002920701,55.84885400521624,56.63604922385861,56.637463022390925
2020-11-17,54.959999,55.85886859496809,55.027541982201626,55.77735693412647,55.779506138087
2020-11-18,53.990002,55.02541926135283,54.58637861100836,54.7295932068528,54.73263974172188
2020-11-19,54.029999,54.41756803010746,54.1251080037121,53.96543821147362,53.96913918768138
2020-11-20,55.299999,54.442632257827874,54.56203469036682,53.99694749176024,54.00062148263688
2020-11-23,54.700001,55.23848117662001,55.29077930002681,54.9974421779619,54.83019387483738
2020-11-24,53.57,54.862490814748014,54.12766695643012,54.52476909864566,54.66185235247601
2020-11-25,52.48,54.154372646177904,54.15624934866946,53.634564377462546,53.52575317892548
2020-11-30,52.939999,53.47132121193898,53.174680154083156,52.775872087730406,52.84316131008464
