dates,close,AR(1),"ARMA(0,2)","ARMA((5, 0))","ARIMA((5, 0),-3.404695500770996*sentiment)"
2020-11-02,34.400002,,36.973136007275045,37.04578741450065,37.082328174493405
2020-11-03,35.259998,35.56183716916276,35.230306500751574,34.8991605734624,34.906912557474406
2020-11-04,36.57,36.09759652738482,36.47439566031553,35.95269498460435,35.97392949177285
2020-11-05,36.799999,36.91370012645927,37.09145068637943,36.93252990924424,36.969859026098376
2020-11-06,36.84,37.056984649447415,36.687196105981585,37.147091381288725,37.17686360878444
2020-11-09,37.490002,37.08190442824667,36.99427397583746,37.90291661520708,37.928770375787984
2020-11-10,38.830002,37.48684195628524,37.619521501907904,38.252685574284094,38.278214869177056
2020-11-11,39.169998,38.32163367626716,38.62736642244374,38.7010982069124,38.7147024759727
2020-11-12,37.75,38.5334440088246,38.245108092069444,38.67720165775132,38.6858274663448
2020-11-13,38.299999,37.648815223159765,36.69286555328523,37.73700914641067,37.73939496390089
2020-11-16,38.060001,37.99145299271076,38.56250779819561,38.66957480233297,38.66017995752918
2020-11-17,37.150002,37.841939303746415,37.25824680657245,37.08595296603014,37.10319219905619
2020-11-18,36.57,37.27502913181222,36.57730948821711,36.30431142980111,36.29660413173381
2020-11-19,37.139999,36.91370012645927,36.90633781238703,36.679305877649,36.689730822817964
2020-11-20,37.029999,37.26879747392044,37.23926498319775,36.81449368872247,36.82672931322379
2020-11-23,36.740002,37.200269795414464,36.85726796161328,36.34715897167913,36.36748741776932
2020-11-24,37.09,37.01960778465357,36.724744206936066,36.728992433692916,36.74001475502299
2020-11-25,37.139999,37.23764915212389,37.332083154728245,37.418475811205475,37.43775919057196
2020-11-30,36.790001,37.26879747392044,36.94809224724424,36.95614896304086,36.790008885955935
