dates,close,AR(1),"ARMA(0,5)","ARMA((5, 0))","ARIMA((5, 0),24.475674376695707*sentiment)"
2020-11-02,138.690002,,145.04105178947373,145.55607304847928,145.69622474974256
2020-11-03,138.5,140.02672170461028,,139.36787417234643,139.5928539543248
2020-11-04,139.399994,139.8666597167222,,139.51795501516446,139.9538891932619
2020-11-05,139.759995,140.6248350450206,,141.03010269362292,141.2036002489411
2020-11-06,142.25,140.92810804057694,,141.38612483485431,140.90355902897377
2020-11-09,146.080002,143.02574464519836,,144.89691236026985,146.38829000079284
2020-11-10,148.279999,146.25222507032726,,148.89080063265794,149.11876898629757
2020-11-11,147.800003,148.1055523677653,,149.53034457639478,149.03865513887848
2020-11-12,148.300003,147.70119286661094,,148.9248842541184,147.9780066705542
2020-11-13,149.899994,148.1224041904078,,149.8874402269306,150.37534370551137
2020-11-16,150.850006,149.47027284475377,,150.3742888482691,150.20862655980645
2020-11-17,149.350006,150.27058446903948,,149.35499395426302,149.37012455485907
2020-11-18,147.369995,149.00695049764903,,147.71951497218893,146.90808078143456
2020-11-19,147.139999,147.3389443887645,,146.39851882963833,146.40918947455697
2020-11-20,146.360001,147.14519054950856,,146.45139097907517,146.9590098507808
2020-11-23,143.869995,146.48810256923082,,144.50688778487248,143.9663579907074
2020-11-24,143.869995,144.39046512218678,,141.89772809773623,144.28653578113062
2020-11-25,143.330002,144.39046512218678,,143.8760054382246,143.17446068037108
2020-11-30,144.679993,143.93556278944476,,143.1766244977867,142.7532629710682
